theta	phi	psi	alpha	beta	CA	CN	CY	Cl	Cn	Cm
29.95786500     -14.51493500    0.00000000      29.16037133     -7.18979497     0.00891497      0.98607229      0.14382269      -0.01571521     -0.00938793     0.07645900     
29.95786500     -14.50456000    0.00000000      29.16151383     -7.18473960     0.00889187      0.98605187      0.14384294      -0.01573113     -0.00938942     0.07646622     
29.95786500     -14.49426000    0.00000000      29.16264726     -7.17972060     0.00886923      0.98603032      0.14386305      -0.01574675     -0.00939091     0.07647314     
29.95786500     -14.48395500    0.00000000      29.16378042     -7.17469898     0.00884699      0.98600763      0.14388303      -0.01576207     -0.00939240     0.07647981     
29.95786500     -14.47361500    0.00000000      29.16491661     -7.16966013     0.00882521      0.98598393      0.14390284      -0.01577710     -0.00939388     0.07648615     
29.95786500     -14.46330000    0.00000000      29.16604924     -7.16463328     0.00880384      0.98595916      0.14392252      -0.01579181     -0.00939536     0.07649224     
29.95786500     -14.45296000    0.00000000      29.16718380     -7.15959407     0.00878293      0.98593332      0.14394202      -0.01580623     -0.00939684     0.07649800     
29.95786500     -14.44263500    0.00000000      29.16831589     -7.15456200     0.00876246      0.98590646      0.14396134      -0.01582034     -0.00939831     0.07650351     
29.95786500     -14.43229000    0.00000000      29.16944936     -7.14951999     0.00874248      0.98587854      0.14398048      -0.01583413     -0.00939978     0.07650872     
29.95786500     -14.42197500    0.00000000      29.17057873     -7.14449243     0.00872291      0.98584966      0.14399948      -0.01584760     -0.00940124     0.07651366     
29.95786500     -14.41163000    0.00000000      29.17171056     -7.13945007     0.00870382      0.98581983      0.14401824      -0.01586076     -0.00940268     0.07651829     
29.95807500     -14.40130000    0.00000000      29.17304651     -7.13446045     0.00868516      0.98578893      0.14403686      -0.01587359     -0.00940413     0.07652263     
29.95807500     -14.38991500    0.00000000      29.17429029     -7.12891074     0.00866705      0.98575721      0.14405526      -0.01588610     -0.00940557     0.07652670     
29.95807500     -14.37853000    0.00000000      29.17553306     -7.12336081     0.00864934      0.98572447      0.14407346      -0.01589828     -0.00940700     0.07653044     
29.95807500     -14.36713500    0.00000000      29.17677594     -7.11780579     0.00863214      0.98569084      0.14409147      -0.01591012     -0.00940842     0.07653397     
29.95807500     -14.35573500    0.00000000      29.17801836     -7.11224811     0.00861545      0.98565633      0.14410927      -0.01592164     -0.00940983     0.07653717     
29.95807500     -14.34432000    0.00000000      29.17926143     -7.10668291     0.00859921      0.98562087      0.14412685      -0.01593282     -0.00941123     0.07654011     
29.95807500     -14.33292500    0.00000000      29.18050132     -7.10112724     0.00858348      0.98558464      0.14414420      -0.01594365     -0.00941261     0.07654275     
29.95807500     -14.32157000    0.00000000      29.18173586     -7.09559086     0.00856823      0.98554752      0.14416131      -0.01595415     -0.00941399     0.07654509     
29.95807500     -14.30463500    0.00000000      29.18357525     -7.08733343     0.00855353      0.98550951      0.14417822      -0.01596430     -0.00941536     0.07654720     
29.95807500     -14.29324000    0.00000000      29.18481168     -7.08177702     0.00853928      0.98547080      0.14419488      -0.01597410     -0.00941671     0.07654901     
29.95807500     -14.28184000    0.00000000      29.18604765     -7.07621795     0.00852557      0.98543126      0.14421130      -0.01598356     -0.00941805     0.07655053     
29.95807500     -14.27045000    0.00000000      29.18728154     -7.07066354     0.00851235      0.98539090      0.14422747      -0.01599266     -0.00941937     0.07655178     
29.95807500     -14.25907000    0.00000000      29.18851336     -7.06511380     0.00849966      0.98534977      0.14424340      -0.01600141     -0.00942068     0.07655279     
29.95807500     -14.24767000    0.00000000      29.18974635     -7.05955408     0.00848742      0.98530793      0.14425906      -0.01600980     -0.00942198     0.07655351     
29.95807500     -14.23625500    0.00000000      29.19097997     -7.05398684     0.00847577      0.98526539      0.14427445      -0.01601784     -0.00942326     0.07655397     
29.95917500     -14.22486000    0.00000000      29.19329300     -7.04866511     0.00846463      0.98522209      0.14428959      -0.01602551     -0.00942453     0.07655417     
29.95919500     -14.21217500    0.00000000      29.19468130     -7.04248206     0.00845402      0.98517813      0.14430443      -0.01603282     -0.00942577     0.07655410     
29.95919500     -14.19794500    0.00000000      29.19621514     -7.03554080     0.00844394      0.98513354      0.14431902      -0.01603976     -0.00942700     0.07655374     
29.95919500     -14.18375000    0.00000000      29.19774367     -7.02861629     0.00843439      0.98508818      0.14433330      -0.01604635     -0.00942821     0.07655317     
29.95919500     -14.16953500    0.00000000      29.19927280     -7.02168169     0.00842536      0.98504230      0.14434729      -0.01605256     -0.00942940     0.07655232     
29.95919500     -14.15532000    0.00000000      29.20080039     -7.01474675     0.00841689      0.98499572      0.14436099      -0.01605840     -0.00943058     0.07655126     
29.95919500     -14.14103500    0.00000000      29.20233394     -7.00777734     0.00840896      0.98494861      0.14437440      -0.01606387     -0.00943173     0.07654991     
29.95919500     -14.12688500    0.00000000      29.20385146     -7.00087346     0.00840156      0.98490093      0.14438749      -0.01606897     -0.00943286     0.07654835     
29.95919500     -14.11267000    0.00000000      29.20537440     -6.99393753     0.00839472      0.98485260      0.14440028      -0.01607369     -0.00943397     0.07654653     
29.95919500     -14.09838500    0.00000000      29.20690329     -6.98696712     0.00838842      0.98480381      0.14441275      -0.01607804     -0.00943506     0.07654449     
29.95919500     -14.08420500    0.00000000      29.20841939     -6.98004762     0.00838268      0.98475443      0.14442488      -0.01608201     -0.00943612     0.07654220     
29.95919500     -14.07000000    0.00000000      29.20993662     -6.97311558     0.00837749      0.98470466      0.14443670      -0.01608560     -0.00943717     0.07653969     
29.95919500     -14.05578500    0.00000000      29.21145337     -6.96617834     0.00837286      0.98465431      0.14444819      -0.01608881     -0.00943818     0.07653697     
29.95919500     -14.03437500    0.00000000      29.21373492     -6.95572916     0.00836877      0.98460349      0.14445935      -0.01609165     -0.00943918     0.07653400     
29.95919500     -14.02018000    0.00000000      29.21524566     -6.94880086     0.00836525      0.98455221      0.14447013      -0.01609410     -0.00944014     0.07653084     
29.95919500     -14.00592000    0.00000000      29.21676178     -6.94184050     0.00836231      0.98450048      0.14448060      -0.01609617     -0.00944108     0.07652746     
29.95702500     -13.99171000    0.00000000      29.21613426     -6.93444631     0.00835991      0.98444841      0.14449067      -0.01609785     -0.00944200     0.07652387     
29.95592500     -13.97979500    0.00000000      29.21631532     -6.92839849     0.00835806      0.98439587      0.14450040      -0.01609915     -0.00944288     0.07652008     
29.95592500     -13.97108500    0.00000000      29.21723879     -6.92414700     0.00835678      0.98434300      0.14450979      -0.01610007     -0.00944374     0.07651606     
29.95592500     -13.96240000    0.00000000      29.21815903     -6.91990760     0.00835608      0.98428979      0.14451880      -0.01610060     -0.00944457     0.07651189     
29.95592500     -13.95370000    0.00000000      29.21908028     -6.91566075     0.00835597      0.98423618      0.14452743      -0.01610074     -0.00944538     0.07650752     
29.95592500     -13.94501500    0.00000000      29.21999937     -6.91142111     0.00835640      0.98418230      0.14453566      -0.01610051     -0.00944615     0.07650295     
29.95592500     -13.93632000    0.00000000      29.22091893     -6.90717646     0.00835744      0.98412807      0.14454354      -0.01609988     -0.00944689     0.07649823     
29.95592500     -13.92762500    0.00000000      29.22183792     -6.90293169     0.00835904      0.98407351      0.14455103      -0.01609886     -0.00944760     0.07649333     
