theta	phi	psi	alpha	beta	CD	CL	Cy	Cmx	Cmy	Cmz
29.96109500     -13.64287500    0.00000000      29.25670858     -6.76491805     0.50135523      0.85300917      0.08613127      -0.01256811     -0.01603067     0.07227568     
29.96109500     -13.61893500    0.00000000      29.25918394     -6.75321756     0.50136198      0.85293114      0.08622553      -0.01255292     -0.01602504     0.07228005     
29.96109500     -13.59499000    0.00000000      29.26165544     -6.74151372     0.50136919      0.85285304      0.08631926      -0.01253744     -0.01601920     0.07228448     
29.96109500     -13.57102500    0.00000000      29.26412461     -6.72979921     0.50137685      0.85277487      0.08641252      -0.01252167     -0.01601313     0.07228905     
29.96109500     -13.54701500    0.00000000      29.26659400     -6.71806180     0.50138499      0.85269667      0.08650539      -0.01250561     -0.01600685     0.07229368     
29.96109500     -13.51103000    0.00000000      29.27028676     -6.70046866     0.50140282      0.85260790      0.08664681      -0.01248675     -0.01600056     0.07230245     
29.96109500     -13.48712500    0.00000000      29.27273440     -6.68878034     0.50141175      0.85252981      0.08673814      -0.01247014     -0.01599383     0.07230724     
29.96109500     -13.46318500    0.00000000      29.27518124     -6.67707401     0.50142117      0.85245168      0.08682904      -0.01245326     -0.01598691     0.07231216     
29.96109500     -13.43923500    0.00000000      29.27762471     -6.66536191     0.50143105      0.85237355      0.08691942      -0.01243610     -0.01597976     0.07231717     
29.96109500     -13.41530500    0.00000000      29.28006177     -6.65365869     0.50144138      0.85229550      0.08700915      -0.01241868     -0.01597240     0.07232230     
29.96109500     -13.39132500    0.00000000      29.28249952     -6.64193013     0.50145226      0.85221745      0.08709848      -0.01240097     -0.01596484     0.07232757     
29.96109500     -13.36741000    0.00000000      29.28492629     -6.63023248     0.50146356      0.85213958      0.08718698      -0.01238302     -0.01595706     0.07233290     
29.96109500     -13.34345000    0.00000000      29.28735323     -6.61851193     0.50147537      0.85206166      0.08727510      -0.01236479     -0.01594906     0.07233838     
29.95893000     -13.31950000    0.00000000      29.28763975     -6.60636038     0.50145545      0.85200213      0.08737003      -0.01234660     -0.01594052     0.07234404     
29.95679500     -13.29494500    0.00000000      29.28801226     -6.59391954     0.50143697      0.85194193      0.08746677      -0.01232803     -0.01593179     0.07235007     
29.95679500     -13.27008000    0.00000000      29.29051678     -6.58175511     0.50145093      0.85186359      0.08755682      -0.01230884     -0.01592319     0.07235624     
29.95679500     -13.24516500    0.00000000      29.29302160     -6.56956526     0.50146545      0.85178545      0.08764645      -0.01228939     -0.01591438     0.07236255     
29.95679500     -13.22029000    0.00000000      29.29551766     -6.55739404     0.50148040      0.85170741      0.08773538      -0.01226971     -0.01590537     0.07236898     
29.95679500     -13.19525500    0.00000000      29.29802500     -6.54514358     0.50149607      0.85162949      0.08782434      -0.01224974     -0.01589616     0.07237562     
29.95679500     -13.17032500    0.00000000      29.30051707     -6.53294356     0.50151209      0.85155182      0.08791229      -0.01222956     -0.01588674     0.07238240     
29.95679500     -13.14547500    0.00000000      29.30299641     -6.52078174     0.50152857      0.85147438      0.08799933      -0.01220915     -0.01587712     0.07238925     
29.95679500     -13.12055500    0.00000000      29.30547799     -6.50858472     0.50154565      0.85139711      0.08808603      -0.01218850     -0.01586730     0.07239630     
29.95679500     -13.09566500    0.00000000      29.30795185     -6.49640145     0.50156323      0.85132010      0.08817200      -0.01216762     -0.01585728     0.07240350     
29.95679500     -13.07079000    0.00000000      29.31041948     -6.48422458     0.50158126      0.85124331      0.08825735      -0.01214652     -0.01584707     0.07241085     
29.95679500     -13.04585500    0.00000000      29.31288833     -6.47201741     0.50159992      0.85116673      0.08834230      -0.01212518     -0.01583666     0.07241836     
29.95679500     -13.02092500    0.00000000      29.31535192     -6.45981174     0.50161909      0.85109041      0.08842666      -0.01210362     -0.01582605     0.07242603     
29.95679500     -12.98378500    0.00000000      29.31901331     -6.44162637     0.50164735      0.85100416      0.08856077      -0.01207929     -0.01581544     0.07243787     
29.95679500     -12.95883000    0.00000000      29.32146754     -6.42940614     0.50166751      0.85092839      0.08864405      -0.01205729     -0.01580446     0.07244589     
29.96091000     -12.93391500    0.00000000      29.32797443     -6.41800759     0.50174938      0.85081830      0.08871275      -0.01203452     -0.01579391     0.07245394     
29.96091000     -12.91146000    0.00000000      29.33017464     -6.40700857     0.50176896      0.85074524      0.08878452      -0.01201264     -0.01578250     0.07246149     
29.96091000     -12.88900000    0.00000000      29.33237148     -6.39600635     0.50178908      0.85067247      0.08885570      -0.01199055     -0.01577091     0.07246923     
29.96091000     -12.86651500    0.00000000      29.33456691     -6.38499113     0.50180980      0.85060003      0.08892634      -0.01196826     -0.01575914     0.07247716     
